iter	Passed	Remaining
283	2386	6015
284	2395	6009
285	2402	5998
286	2412	5992
287	2419	5981
288	2428	5975
289	2436	5965
290	2445	5958
291	2452	5947
292	2462	5940
293	2469	5931
294	2479	5924
295	2486	5914
296	2496	5909
297	2503	5897
298	2513	5893
299	2523	5887
300	2531	5879
301	2542	5875
302	2550	5867
303	2561	5864
304	2569	5854
305	2579	5850
306	2588	5842
307	2597	5835
308	2606	5829
309	2615	5821
310	2627	5820
311	2634	5810
312	2644	5805
313	2652	5796
314	2661	5788
315	2670	5779
316	2679	5772
317	2686	5761
318	2695	5754
319	2704	5746
320	2712	5736
321	2721	5730
322	2729	5720
323	2737	5712
324	2745	5702
325	2754	5694
326	2762	5685
327	2770	5677
328	2779	5669
329	2789	5664
330	2798	5656
331	2809	5652
332	2816	5641
333	2826	5636
334	2833	5625
335	2843	5618
336	2850	5607
337	2859	5600
338	2867	5592
339	2876	5584
340	2884	5575
341	2893	5567
342	2903	5560
343	2910	5550
344	2917	5539
345	2926	5532
346	2934	5521
347	2943	5514
348	2951	5505
349	2959	5496
350	2967	5487
351	2975	5478
352	2983	5469
353	2992	5460
354	2999	5450
355	3009	5443
356	3016	5433
357	3025	5425
358	3033	5415
359	3042	5408
360	3049	5397
361	3058	5390
362	3066	5380
363	3074	5372
364	3082	5362
365	3090	5353
366	3097	5342
367	3106	5334
368	3113	5324
369	3123	5319
370	3131	5308
371	3140	5301
372	3147	5290
373	3155	5282
374	3163	5272
375	3172	5264
376	3179	5254
377	3188	5246
378	3196	5238
379	3206	5231
380	3213	5220
381	3221	5212
382	3229	5202
383	3238	5195
384	3245	5183
385	3254	5176
386	3261	5166
387	3271	5160
388	3279	5150
389	3288	5142
390	3295	5133
391	3305	5126
392	3312	5116
393	3321	5108
394	3328	5098
395	3338	5091
396	3345	5081
397	3354	5074
398	3363	5065
399	3371	5057
400	3379	5048
401	3388	5039
402	3395	5030
403	3404	5022
404	3411	5012
405	3420	5004
406	3427	4994
407	3436	4987
408	3444	4976
409	3454	4970
410	3461	4960
411	3470	4953
412	3478	4944
